name,iso_a3,currency_code,local_price,dollar_ex,Year,date,Price
Colombia,COL,COP,11900,3191.5,2019,2019-01-01,3.728654238
Costa Rica,CRI,CRC,2290,606.975,2019,2019-01-01,3.772807776
Czech Republic,CZE,CZK,85,22.31165,2019,2019-01-01,3.80966894
Germany,DEU,EUR,4.12,0.8724861493,2019,2019-01-01,4.722138
Denmark,DNK,DKK,30,6.51545,2019,2019-01-01,4.604440215
Egypt,EGY,EGP,40,17.91,2019,2019-01-01,2.233389168
Spain,ESP,EUR,3.95,0.8724861493,2019,2019-01-01,4.5272925
Estonia,EST,EUR,3.2,0.8724861493,2019,2019-01-01,3.66768
Euro area,EUZ,EUR,4.05,0.8724861493,2019,2019-01-01,4.6419075
Finland,FIN,EUR,4.62,0.8724861493,2019,2019-01-01,5.295213
France,FRA,EUR,4.2,0.8724861493,2019,2019-01-01,4.81383
Britain,GBR,GBP,3.19,0.7832080201,2019,2019-01-01,4.072992
Greece,GRC,EUR,3.35,0.8724861493,2019,2019-01-01,3.8396025
Guatemala,GTM,GTQ,25,7.7283,2019,2019-01-01,3.234864071
Hong Kong,HKG,HKD,20,7.83435,2019,2019-01-01,2.552860161
Honduras,HND,HNL,85,24.3391,2019,2019-01-01,3.492323052
Croatia,HRV,HRK,21,6.47885,2019,2019-01-01,3.241315974
Hungary,HUN,HUF,850,280.26875,2019,2019-01-01,3.032803336
Indonesia,IDN,IDR,33000,14090,2019,2019-01-01,2.342086586
India,IND,INR,178,69.685,2019,2019-01-01,2.554351726
Ireland,IRL,EUR,4.07,0.8724861493,2019,2019-01-01,4.6648305
Israel,ISR,ILS,17,3.70785,2019,2019-01-01,4.584867241
Italy,ITA,EUR,4.2,0.8724861493,2019,2019-01-01,4.81383
Jordan,JOR,JOD,1.95,0.7096,2019,2019-01-01,2.748027057
Japan,JPN,JPY,390,108.44,2019,2019-01-01,3.596458871
South Korea,KOR,KRW,4500,1118.6,2019,2019-01-01,4.02288575
Kuwait,KWT,KWD,1.05,0.3031,2019,2019-01-01,3.464203233
Lebanon,LBN,LBP,6500,1507,2019,2019-01-01,4.313205043
Sri Lanka,LKA,LKR,580,182.245,2019,2019-01-01,3.182529013
Lithuania,LTU,EUR,2.85,0.8724861493,2019,2019-01-01,3.2665275
Latvia,LVA,EUR,2.8,0.8724861493,2019,2019-01-01,3.20922
Moldova,MDA,MDL,40,17.263,2019,2019-01-01,2.317094364
Mexico,MEX,MXN,49,19.30875,2019,2019-01-01,2.537709588
Malaysia,MYS,MYR,9.05,4.1175,2019,2019-01-01,2.197935641
Nicaragua,NIC,NIO,103,32.3607,2019,2019-01-01,3.182873053
Netherlands,NLD,EUR,4,0.8724861493,2019,2019-01-01,4.5846
Norway,NOR,NOK,50,8.5329,2019,2019-01-01,5.859672561
New Zealand,NZL,NZD,6.2,1.479289941,2019,2019-01-01,4.1912
Oman,OMN,OMR,1.05,0.3849,2019,2019-01-01,2.727981294
Pakistan,PAK,PKR,460,138.88,2019,2019-01-01,3.312211982
Peru,PER,PEN,10.5,3.3485,2019,2019-01-01,3.135732418
Philippines,PHL,PHP,140,52.3925,2019,2019-01-01,2.672138188
Poland,POL,PLN,10.5,3.74845,2019,2019-01-01,2.801157812
Portugal,PRT,EUR,3.25,0.8724861493,2019,2019-01-01,3.7249875
Qatar,QAT,QAR,12,3.64125,2019,2019-01-01,3.295571576
Romania,ROU,RON,9.3,4.06695,2019,2019-01-01,2.286725925
Russia,RUS,RUB,110.17,66.685,2019,2019-01-01,1.652095674
Saudi Arabia,SAU,SAR,12,3.75115,2019,2019-01-01,3.199018968
Singapore,SGP,SGD,5.8,1.3559,2019,2019-01-01,4.277601593
Slovakia,SVK,EUR,3.2,0.8724861493,2019,2019-01-01,3.66768
Slovenia,SVN,EUR,2.3,0.8724861493,2019,2019-01-01,2.636145
Sweden,SWE,SEK,52,8.90625,2019,2019-01-01,5.838596491
Thailand,THA,THB,119,32.0075,2019,2019-01-01,3.717878622
Turkey,TUR,TRY,10.75,5.3834,2019,2019-01-01,1.996879296
Taiwan,TWN,TWD,69,30.803,2019,2019-01-01,2.240041554
Ukraine,UKR,UAH,54,27.8,2019,2019-01-01,1.942446043
Uruguay,URY,UYU,140,32.51,2019,2019-01-01,4.306367272
United States,USA,USD,5.58,1,2019,2019-01-01,5.58
Vietnam,VNM,VND,65000,23199,2019,2019-01-01,2.801844907
South Africa,ZAF,ZAR,31,13.8675,2019,2019-01-01,2.235442582
United Arab Emirates,ARE,AED,14.75,3.67315,2019,2019-07-09,4.015626914
Argentina,ARG,ARS,120,41.8045,2019,2019-07-09,2.870504372
Australia,AUS,AUD,6.15,1.443626389,2019,2019-07-09,4.260105
Austria,AUT,EUR,3.81,0.8923392674,2019,2019-07-09,4.2696765
Azerbaijan,AZE,AZN,3.95,1.6965,2019,2019-07-09,2.328323018
Belgium,BEL,EUR,4.2,0.8923392674,2019,2019-07-09,4.70673
Bahrain,BHR,BHD,1.4,0.377,2019,2019-07-09,3.713527851
Brazil,BRA,BRL,17.5,3.8073,2019,2019-07-09,4.596433168
Canada,CAN,CAD,6.77,1.31305,2019,2019-07-09,5.155934656
Switzerland,CHE,CHF,6.5,0.99355,2019,2019-07-09,6.542197172
Chile,CHL,CLP,2640,689.75,2019,2019-07-09,3.827473722
China,CHN,CNY,21,6.8846,2019,2019-07-09,3.050286146
Colombia,COL,COP,11900,3227,2019,2019-07-09,3.687635575
Costa Rica,CRI,CRC,2290,581.935,2019,2019-07-09,3.935147396
Czech Republic,CZE,CZK,85,22.7993,2019,2019-07-09,3.728184637
Germany,DEU,EUR,4.14,0.8923392674,2019,2019-07-09,4.639491
Denmark,DNK,DKK,30,6.6593,2019,2019-07-09,4.504978001
Egypt,EGY,EGP,42,16.615,2019,2019-07-09,2.527836293
Spain,ESP,EUR,3.95,0.8923392674,2019,2019-07-09,4.4265675
Estonia,EST,EUR,3.2,0.8923392674,2019,2019-07-09,3.58608
Euro area,EUZ,EUR,4.08,0.8923392674,2019,2019-07-09,4.572252
Finland,FIN,EUR,4.75,0.8923392674,2019,2019-07-09,5.3230875
France,FRA,EUR,4.2,0.8923392674,2019,2019-07-09,4.70673
Britain,GBR,GBP,3.29,0.8021819349,2019,2019-07-09,4.101314
Greece,GRC,EUR,3.3,0.8923392674,2019,2019-07-09,3.698145
Guatemala,GTM,GTQ,25,7.6802,2019,2019-07-09,3.255123564
Hong Kong,HKG,HKD,20.5,7.8105,2019,2019-07-09,2.624671916
Honduras,HND,HNL,86,24.4834,2019,2019-07-09,3.512584037
Croatia,HRV,HRK,22,6.5981,2019,2019-07-09,3.334293206
Hungary,HUN,HUF,900,290.5412,2019,2019-07-09,3.097667388
Indonesia,IDN,IDR,32000,14130,2019,2019-07-09,2.264685067
India,IND,INR,183,68.5544,2019,2019-07-09,2.669412904
Ireland,IRL,EUR,4.3,0.8923392674,2019,2019-07-09,4.818795
Israel,ISR,ILS,17,3.5667,2019,2019-07-09,4.766310595
Italy,ITA,EUR,4.3,0.8923392674,2019,2019-07-09,4.818795
Jordan,JOR,JOD,2.3,0.709,2019,2019-07-09,3.244005642
Japan,JPN,JPY,390,108.765,2019,2019-07-09,3.585712316
South Korea,KOR,KRW,4500,1180.55,2019,2019-07-09,3.811782644
Kuwait,KWT,KWD,1.1,0.3045,2019,2019-07-09,3.612479475
Lebanon,LBN,LBP,6500,1507,2019,2019-07-09,4.313205043
Sri Lanka,LKA,LKR,640,175.675,2019,2019-07-09,3.643090935
Lithuania,LTU,EUR,2.85,0.8923392674,2019,2019-07-09,3.1938525
Latvia,LVA,EUR,2.85,0.8923392674,2019,2019-07-09,3.1938525
Moldova,MDA,MDL,43,17.8142,2019,2019-07-09,2.413804718
Mexico,MEX,MXN,50,18.89525,2019,2019-07-09,2.646167688
Malaysia,MYS,MYR,8.85,4.1425,2019,2019-07-09,2.136391068
Nicaragua,NIC,NIO,110,33.1621,2019,2019-07-09,3.317039633
Netherlands,NLD,EUR,4.06,0.8923392674,2019,2019-07-09,4.549839
Norway,NOR,NOK,42,8.65275,2019,2019-07-09,4.853948167
New Zealand,NZL,NZD,6.4,1.513431706,2019,2019-07-09,4.2288
Oman,OMN,OMR,1.21,0.385,2019,2019-07-09,3.142857143
Pakistan,PAK,PKR,480,157.45,2019,2019-07-09,3.048586853
Peru,PER,PEN,10.5,3.2868,2019,2019-07-09,3.194596568
Philippines,PHL,PHP,142,51.3175,2019,2019-07-09,2.767087251
Poland,POL,PLN,10.8,3.80775,2019,2019-07-09,2.836320662
Portugal,PRT,EUR,3.25,0.8923392674,2019,2019-07-09,3.6421125
Qatar,QAT,QAR,13,3.64175,2019,2019-07-09,3.569712364
Romania,ROU,RON,9.3,4.2192,2019,2019-07-09,2.204209329
Russia,RUS,RUB,130,63.83875,2019,2019-07-09,2.036380725
Saudi Arabia,SAU,SAR,13,3.75035,2019,2019-07-09,3.466343141
Singapore,SGP,SGD,5.8,1.3613,2019,2019-07-09,4.260633218
Slovakia,SVK,EUR,3.2,0.8923392674,2019,2019-07-09,3.58608
Slovenia,SVN,EUR,2.4,0.8923392674,2019,2019-07-09,2.68956
Sweden,SWE,SEK,51,9.47505,2019,2019-07-09,5.382557348
Thailand,THA,THB,119,30.8275,2019,2019-07-09,3.860189766
Turkey,TUR,TRY,13.99,5.722,2019,2019-07-09,2.444949318
Taiwan,TWN,TWD,72,31.172,2019,2019-07-09,2.309765174
Ukraine,UKR,UAH,57,25.6475,2019,2019-07-09,2.222438834
Uruguay,URY,UYU,164,35.1695,2019,2019-07-09,4.663131406
United States,USA,USD,5.74,1,2019,2019-07-09,5.74
Vietnam,VNM,VND,65000,23231,2019,2019-07-09,2.79798545
South Africa,ZAF,ZAR,31,14.175,2019,2019-07-09,2.186948854
United Arab Emirates,ARE,AED,14.75,3.67315,2020,2020-01-14,4.015626914
Argentina,ARG,ARS,171,60.0656,2020,2020-01-14,2.846887403
Australia,AUS,AUD,6.45,1.449065353,2020,2020-01-14,4.451145
Austria,AUT,EUR,3.84,0.8991592861,2020,2020-01-14,4.270656
Azerbaijan,AZE,AZN,3.95,1.6965,2020,2020-01-14,2.328323018
Belgium,BEL,EUR,4.3,0.8991592861,2020,2020-01-14,4.782245
Bahrain,BHR,BHD,1.4,0.377,2020,2020-01-14,3.713527851
Brazil,BRA,BRL,19.9,4.1419,2020,2020-01-14,4.804558295
Canada,CAN,CAD,6.77,1.30655,2020,2020-01-14,5.181585091
Switzerland,CHE,CHF,6.5,0.96825,2020,2020-01-14,6.713142267
Chile,CHL,CLP,2640,772.74,2020,2020-01-14,3.416414318
China,CHN,CNY,21.5,6.885,2020,2020-01-14,3.122730574
Colombia,COL,COP,11900,3287.625,2020,2020-01-14,3.619634234
Costa Rica,CRI,CRC,2350,569.965,2020,2020-01-14,4.123060188
Czech Republic,CZE,CZK,85,22.63095,2020,2020-01-14,3.755918333
Germany,DEU,EUR,4.14,0.8991592861,2020,2020-01-14,4.604301
Denmark,DNK,DKK,30,6.71935,2020,2020-01-14,4.464717569
Egypt,EGY,EGP,42,15.88,2020,2020-01-14,2.644836272
Spain,ESP,EUR,4.2,0.8991592861,2020,2020-01-14,4.67103
Estonia,EST,EUR,3.2,0.8991592861,2020,2020-01-14,3.55888
Euro area,EUZ,EUR,4.12,0.8991592861,2020,2020-01-14,4.582058
Finland,FIN,EUR,4.83,0.8991592861,2020,2020-01-14,5.3716845
France,FRA,EUR,4.2,0.8991592861,2020,2020-01-14,4.67103
Britain,GBR,GBP,3.39,0.7686690495,2020,2020-01-14,4.4102205
Greece,GRC,EUR,3.3,0.8991592861,2020,2020-01-14,3.670095
Guatemala,GTM,GTQ,25,7.7063,2020,2020-01-14,3.244098984
Hong Kong,HKG,HKD,20.5,7.77535,2020,2020-01-14,2.636537262
Honduras,HND,HNL,87,24.6548,2020,2020-01-14,3.52872463
Croatia,HRV,HRK,22,6.6965,2020,2020-01-14,3.28529829
Hungary,HUN,HUF,900,298.7502,2020,2020-01-14,3.012550284
Indonesia,IDN,IDR,33000,13670,2020,2020-01-14,2.414045355
India,IND,INR,188,70.87815,2020,2020-01-14,2.652439433
Ireland,IRL,EUR,4.2,0.8991592861,2020,2020-01-14,4.67103
Israel,ISR,ILS,17,3.4595,2020,2020-01-14,4.914004914
Italy,ITA,EUR,4.3,0.8991592861,2020,2020-01-14,4.782245
Jordan,JOR,JOD,2.3,0.709,2020,2020-01-14,3.244005642
Japan,JPN,JPY,390,110.04,2020,2020-01-14,3.544165758
South Korea,KOR,KRW,4500,1156.1,2020,2020-01-14,3.892396851
Kuwait,KWT,KWD,1.1,0.3034,2020,2020-01-14,3.625576796
Lebanon,LBN,LBP,6500,1514,2020,2020-01-14,4.29326288
Sri Lanka,LKA,LKR,580,181.45,2020,2020-01-14,3.196472858
Lithuania,LTU,EUR,2.85,0.8991592861,2020,2020-01-14,3.1696275
Latvia,LVA,EUR,2.85,0.8991592861,2020,2020-01-14,3.1696275
Moldova,MDA,MDL,45,17.42,2020,2020-01-14,2.583237658
Mexico,MEX,MXN,50,18.8205,2020,2020-01-14,2.656677559
Malaysia,MYS,MYR,9.5,4.0745,2020,2020-01-14,2.331574426
Nicaragua,NIC,NIO,120,33.8763,2020,2020-01-14,3.542299484
Netherlands,NLD,EUR,4.09,0.8991592861,2020,2020-01-14,4.5486935
Norway,NOR,NOK,53,8.87515,2020,2020-01-14,5.971730055
New Zealand,NZL,NZD,6.5,1.513546239,2020,2020-01-14,4.29455
Oman,OMN,OMR,1.155,0.38505,2020,2020-01-14,2.99961044
Pakistan,PAK,PKR,520,154.875,2020,2020-01-14,3.357546408
Peru,PER,PEN,11.9,3.3276,2020,2020-01-14,3.57615098
Philippines,PHL,PHP,142,50.58,2020,2020-01-14,2.807433768
Poland,POL,PLN,11,3.7966,2020,2020-01-14,2.897329189
Portugal,PRT,EUR,3.25,0.8991592861,2020,2020-01-14,3.6144875
Qatar,QAT,QAR,13,3.641,2020,2020-01-14,3.570447679
Romania,ROU,RON,9.5,4.2982,2020,2020-01-14,2.210227537
Russia,RUS,RUB,135,61.4325,2020,2020-01-14,2.197533879
Saudi Arabia,SAU,SAR,13,3.7518,2020,2020-01-14,3.465003465
Singapore,SGP,SGD,5.9,1.34715,2020,2020-01-14,4.379616227
Slovakia,SVK,EUR,3.4,0.8991592861,2020,2020-01-14,3.78131
Slovenia,SVN,EUR,2.4,0.8991592861,2020,2020-01-14,2.66916
Sweden,SWE,SEK,51.5,9.4591,2020,2020-01-14,5.444492605
Thailand,THA,THB,115,30.2775,2020,2020-01-14,3.798199983
Turkey,TUR,TRY,12.99,5.88025,2020,2020-01-14,2.20908975
Taiwan,TWN,TWD,72,29.8845,2020,2020-01-14,2.409275711
Ukraine,UKR,UAH,57,23.99,2020,2020-01-14,2.375989996
Uruguay,URY,UYU,179,37.435,2020,2020-01-14,4.781621477
United States,USA,USD,5.67,1,2020,2020-01-14,5.67
Vietnam,VNM,VND,66000,23176,2020,2020-01-14,2.847773559
South Africa,ZAF,ZAR,31,14.391,2020,2020-01-14,2.154124105
United Arab Emirates,ARE,AED,14.75,3.67295,2020,2020-07-01,4.015845574
Argentina,ARG,ARS,250,71.24065,2020,2020-07-01,3.50923244
Australia,AUS,AUD,6.55,1.430615165,2020,2020-07-01,4.57845
Austria,AUT,EUR,3.86,0.8796235211,2020,2020-07-01,4.388241
Azerbaijan,AZE,AZN,3.95,1.699,2020,2020-07-01,2.324896998
Belgium,BEL,EUR,4.35,0.8796235211,2020,2020-07-01,4.9452975
Bahrain,BHR,BHD,1.4,0.37705,2020,2020-07-01,3.713035406
Brazil,BRA,BRL,20.9,5.34045,2020,2020-07-01,3.913527886
Canada,CAN,CAD,6.88,1.3552,2020,2020-07-01,5.07674144
Switzerland,CHE,CHF,6.5,0.94125,2020,2020-07-01,6.905710491
Chile,CHL,CLP,2740,787.7,2020,2020-07-01,3.478481655
China,CHN,CNY,21.7,7.0035,2020,2020-07-01,3.098450775
Colombia,COL,COP,11900,3617.01,2020,2020-07-01,3.290010257
Costa Rica,CRI,CRC,2350,581.825,2020,2020-07-01,4.039015168
Czech Republic,CZE,CZK,89,23.4134,2020,2020-07-01,3.801242024
Germany,DEU,EUR,4.45,0.8796235211,2020,2020-07-01,5.0589825
Denmark,DNK,DKK,30,6.54935,2020,2020-07-01,4.580607236
Egypt,EGY,EGP,42,15.95,2020,2020-07-01,2.63322884
Spain,ESP,EUR,4.1,0.8796235211,2020,2020-07-01,4.661085
Estonia,EST,EUR,3.2,0.8796235211,2020,2020-07-01,3.63792
Euro area,EUZ,EUR,4.21,0.8796235211,2020,2020-07-01,4.7861385
Finland,FIN,EUR,4.88,0.8796235211,2020,2020-07-01,5.547828
France,FRA,EUR,4.2,0.8796235211,2020,2020-07-01,4.77477
Britain,GBR,GBP,3.39,0.7925500297,2020,2020-07-01,4.2773325
Greece,GRC,EUR,3.3,0.8796235211,2020,2020-07-01,3.751605
Guatemala,GTM,GTQ,25,7.693,2020,2020-07-01,3.249707526
Hong Kong,HKG,HKD,20.5,7.75095,2020,2020-07-01,2.644837084
Honduras,HND,HNL,87,24.6907,2020,2020-07-01,3.523593904
Croatia,HRV,HRK,22,6.6272,2020,2020-07-01,3.319652342
Hungary,HUN,HUF,900,311.37795,2020,2020-07-01,2.890378076
Indonesia,IDN,IDR,34000,14435,2020,2020-07-01,2.355386214
India,IND,INR,190,75.1975,2020,2020-07-01,2.526679743
Ireland,IRL,EUR,4.3,0.8796235211,2020,2020-07-01,4.888455
Israel,ISR,ILS,17,3.4367,2020,2020-07-01,4.946605756
Italy,ITA,EUR,4.3,0.8796235211,2020,2020-07-01,4.888455
Jordan,JOR,JOD,2.3,0.709,2020,2020-07-01,3.244005642
Japan,JPN,JPY,390,107.275,2020,2020-07-01,3.635516197
South Korea,KOR,KRW,4500,1200.95,2020,2020-07-01,3.747033598
Kuwait,KWT,KWD,1.15,0.3078,2020,2020-07-01,3.736192333
Lebanon,LBN,LBP,9000,1512,2020,2020-07-01,5.952380952
Sri Lanka,LKA,LKR,680,185.85,2020,2020-07-01,3.658864676
Lithuania,LTU,EUR,2.85,0.8796235211,2020,2020-07-01,3.2400225
Latvia,LVA,EUR,2.85,0.8796235211,2020,2020-07-01,3.2400225
Moldova,MDA,MDL,47,17.075,2020,2020-07-01,2.752562225
Mexico,MEX,MXN,50,22.436,2020,2020-07-01,2.228561241
Malaysia,MYS,MYR,9.99,4.2655,2020,2020-07-01,2.342046653
Nicaragua,NIC,NIO,120,34.3752,2020,2020-07-01,3.49088878
Netherlands,NLD,EUR,4.09,0.8796235211,2020,2020-07-01,4.6497165
Norway,NOR,NOK,52,9.37105,2020,2020-07-01,5.549004647
New Zealand,NZL,NZD,6.6,1.51779616,2020,2020-07-01,4.34841
Oman,OMN,OMR,1.1,0.385,2020,2020-07-01,2.857142857
Pakistan,PAK,PKR,550,166.5,2020,2020-07-01,3.303303303
Peru,PER,PEN,11.9,3.4973,2020,2020-07-01,3.402624882
Philippines,PHL,PHP,142,49.426,2020,2020-07-01,2.872981831
Poland,POL,PLN,11,3.94345,2020,2020-07-01,2.789435646
Portugal,PRT,EUR,3.45,0.8796235211,2020,2020-07-01,3.9221325
Qatar,QAT,QAR,13,3.641,2020,2020-07-01,3.570447679
Romania,ROU,RON,9.9,4.26005,2020,2020-07-01,2.323916386
Russia,RUS,RUB,135,70.585,2020,2020-07-01,1.91258766
Saudi Arabia,SAU,SAR,14,3.75105,2020,2020-07-01,3.732288293
Singapore,SGP,SGD,5.9,1.3876,2020,2020-07-01,4.251945806
Slovakia,SVK,EUR,3.6,0.8796235211,2020,2020-07-01,4.09266
Slovenia,SVN,EUR,2.5,0.8796235211,2020,2020-07-01,2.842125
Sweden,SWE,SEK,52.6,9.1384,2020,2020-07-01,5.755931016
Thailand,THA,THB,128,31.385,2020,2020-07-01,4.078381392
Turkey,TUR,TRY,13.99,6.8595,2020,2020-07-01,2.039507253
Taiwan,TWN,TWD,72,29.4565,2020,2020-07-01,2.444282247
Ukraine,UKR,UAH,59,27.13,2020,2020-07-01,2.174714338
Uruguay,URY,UYU,189,43.675,2020,2020-07-01,4.327418432
United States,USA,USD,5.71,1,2020,2020-07-01,5.71
Vietnam,VNM,VND,66000,23180,2020,2020-07-01,2.84728214
South Africa,ZAF,ZAR,31,16.6725,2020,2020-07-01,1.859349228
United Arab Emirates,ARE,AED,14.75,3.67315,2021,2021-01-01,4.015626914
Argentina,ARG,ARS,320,85.3736,2021,2021-01-01,3.748231303
Australia,AUS,AUD,6.48,1.299967501,2021,2021-01-01,4.98474
Austria,AUT,EUR,3.88,0.8230113987,2021,2021-01-01,4.714394
Azerbaijan,AZE,AZN,3.95,1.699,2021,2021-01-01,2.324896998
Belgium,BEL,EUR,4.35,0.8230113987,2021,2021-01-01,5.2854675
Bahrain,BHR,BHD,1.5,0.377,2021,2021-01-01,3.978779841
Brazil,BRA,BRL,21.9,5.5046,2021,2021-01-01,3.978490717
Canada,CAN,CAD,6.77,1.2803,2021,2021-01-01,5.287823166
Switzerland,CHE,CHF,6.5,0.89155,2021,2021-01-01,7.290673546
Chile,CHL,CLP,2940,719.425,2021,2021-01-01,4.086596935
China,CHN,CNY,22.4,6.4751,2021,2021-01-01,3.459406032
Colombia,COL,COP,12950,3460.5,2021,2021-01-01,3.742233781
Costa Rica,CRI,CRC,2350,613.77,2021,2021-01-01,3.828795803
Czech Republic,CZE,CZK,89,21.5909,2021,2021-01-01,4.122106999
Germany,DEU,EUR,4.46,0.8230113987,2021,2021-01-01,5.419123
Denmark,DNK,DKK,30,6.12065,2021,2021-01-01,4.901440207
Egypt,EGY,EGP,42.5,15.64,2021,2021-01-01,2.717391304
Spain,ESP,EUR,4.33,0.8230113987,2021,2021-01-01,5.2611665
Estonia,EST,EUR,3.2,0.8230113987,2021,2021-01-01,3.88816
Euro area,EUZ,EUR,4.25,0.8230113987,2021,2021-01-01,5.1639625
Finland,FIN,EUR,4.87,0.8230113987,2021,2021-01-01,5.9172935
France,FRA,EUR,4.2,0.8230113987,2021,2021-01-01,5.10321
Britain,GBR,GBP,3.29,0.7413722801,2021,2021-01-01,4.4377165
Greece,GRC,EUR,3.3,0.8230113987,2021,2021-01-01,4.009665
Guatemala,GTM,GTQ,25,7.8009,2021,2021-01-01,3.204758425
Hong Kong,HKG,HKD,20.5,7.75535,2021,2021-01-01,2.643336535
Honduras,HND,HNL,87,24.103,2021,2021-01-01,3.60950919
Croatia,HRV,HRK,23,6.23875,2021,2021-01-01,3.686635945
Hungary,HUN,HUF,900,297.42395,2021,2021-01-01,3.025983617
Indonesia,IDN,IDR,34000,14125,2021,2021-01-01,2.407079646
India,IND,INR,190,73.39,2021,2021-01-01,2.588908571
Ireland,IRL,EUR,4.4,0.8230113987,2021,2021-01-01,5.34622
Israel,ISR,ILS,17,3.179,2021,2021-01-01,5.347593583
Italy,ITA,EUR,4.3,0.8230113987,2021,2021-01-01,5.224715
Jordan,JOR,JOD,2.3,0.709,2021,2021-01-01,3.244005642
Japan,JPN,JPY,390,104.295,2021,2021-01-01,3.739393068
South Korea,KOR,KRW,4500,1097.35,2021,2021-01-01,4.100788263
Kuwait,KWT,KWD,1.15,0.3037,2021,2021-01-01,3.786631544
Lebanon,LBN,LBP,15500,8750,2021,2021-01-01,1.771428571
Sri Lanka,LKA,LKR,700,189,2021,2021-01-01,3.703703704
Lithuania,LTU,EUR,2.9,0.8230113987,2021,2021-01-01,3.523645
Latvia,LVA,EUR,2.85,0.8230113987,2021,2021-01-01,3.4628925
Moldova,MDA,MDL,50,17.225,2021,2021-01-01,2.90275762
Mexico,MEX,MXN,54,20.11475,2021,2021-01-01,2.684597124
Malaysia,MYS,MYR,9.99,4.052,2021,2021-01-01,2.465449161
Nicaragua,NIC,NIO,124,34.8453,2021,2021-01-01,3.558586093
Netherlands,NLD,EUR,4.13,0.8230113987,2021,2021-01-01,5.0181565
Norway,NOR,NOK,52,8.5439,2021,2021-01-01,6.086213556
New Zealand,NZL,NZD,6.8,1.395089286,2021,2021-01-01,4.87424
Oman,OMN,OMR,1.1,0.385,2021,2021-01-01,2.857142857
Pakistan,PAK,PKR,550,160.35,2021,2021-01-01,3.429996882
Peru,PER,PEN,11.9,3.6207,2021,2021-01-01,3.286657276
Philippines,PHL,PHP,142,48.0925,2021,2021-01-01,2.952643344
Poland,POL,PLN,13.08,3.7226,2021,2021-01-01,3.513673239
Portugal,PRT,EUR,3.45,0.8230113987,2021,2021-01-01,4.1919225
Qatar,QAT,QAR,13,3.641,2021,2021-01-01,3.570447679
Romania,ROU,RON,9.9,4.0089,2021,2021-01-01,2.469505351
Russia,RUS,RUB,135,74.63,2021,2021-01-01,1.808924025
Saudi Arabia,SAU,SAR,14,3.7518,2021,2021-01-01,3.731542193
Singapore,SGP,SGD,5.9,1.3308,2021,2021-01-01,4.433423505
Slovakia,SVK,EUR,3.7,0.8230113987,2021,2021-01-01,4.495685
Slovenia,SVN,EUR,2.5,0.8230113987,2021,2021-01-01,3.037625
Sweden,SWE,SEK,52.88,8.29525,2021,2021-01-01,6.374732528
Thailand,THA,THB,128,30.13,2021,2021-01-01,4.248257551
Turkey,TUR,TRY,14.99,7.4705,2021,2021-01-01,2.006559133
Taiwan,TWN,TWD,72,27.98,2021,2021-01-01,2.573266619
Ukraine,UKR,UAH,62,28.14,2021,2021-01-01,2.203269367
Uruguay,URY,UYU,204,42.495,2021,2021-01-01,4.800564772
United States,USA,USD,5.66,1,2021,2021-01-01,5.66
Vietnam,VNM,VND,66000,23064,2021,2021-01-01,2.861602497
South Africa,ZAF,ZAR,33.5,15.5225,2021,2021-01-01,2.158157513
United Arab Emirates,ARE,AED,14.75,3.67315,2021,2021-07-01,4.015626914
Argentina,ARG,ARS,380,96.33375,2021,2021-07-01,3.944619617
Australia,AUS,AUD,6.55,1.366586949,2021,2021-07-01,4.7929625
Austria,AUT,EUR,3.92,0.8501594049,2021,2021-07-01,4.6109
Azerbaijan,AZE,AZN,3.95,1.699,2021,2021-07-01,2.324896998
Belgium,BEL,EUR,4.45,0.8501594049,2021,2021-07-01,5.2343125
Bahrain,BHR,BHD,1.5,0.377,2021,2021-07-01,3.978779841
Brazil,BRA,BRL,22.9,5.24865,2021,2021-07-01,4.363026683
Canada,CAN,CAD,6.77,1.2741,2021,2021-07-01,5.313554666
Switzerland,CHE,CHF,6.5,0.92275,2021,2021-07-01,7.044161474
Chile,CHL,CLP,2990,759.285,2021,2021-07-01,3.937915276
China,CHN,CNY,22.4,6.4797,2021,2021-07-01,3.456950167
Colombia,COL,COP,12950,3842.11,2021,2021-07-01,3.37054379
Costa Rica,CRI,CRC,2370,617.74,2021,2021-07-01,3.836565545
Czech Republic,CZE,CZK,89,21.80065,2021,2021-07-01,4.082447083
Germany,DEU,EUR,4.45,0.8501594049,2021,2021-07-01,5.2343125
Denmark,DNK,DKK,30,6.3239,2021,2021-07-01,4.743908031
Egypt,EGY,EGP,42.5,15.67,2021,2021-07-01,2.712188896
Spain,ESP,EUR,4.4,0.8501594049,2021,2021-07-01,5.1755
Estonia,EST,EUR,3.2,0.8501594049,2021,2021-07-01,3.764
Euro area,EUZ,EUR,4.29,0.8501594049,2021,2021-07-01,5.0461125
Finland,FIN,EUR,4.89,0.8501594049,2021,2021-07-01,5.7518625
France,FRA,EUR,4.3,0.8501594049,2021,2021-07-01,5.057875
Britain,GBR,GBP,3.49,0.7346728869,2021,2021-07-01,4.7504135
Greece,GRC,EUR,3.3,0.8501594049,2021,2021-07-01,3.881625
Guatemala,GTM,GTQ,26,7.7448,2021,2021-07-01,3.35709121
Hong Kong,HKG,HKD,21,7.7729,2021,2021-07-01,2.701694348
Honduras,HND,HNL,87,23.744,2021,2021-07-01,3.664083558
