name,iso_a3,currency_code,local_price,dollar_ex,Year,date,Price
Japan,JPN,JPY,380,116.665,2017,2017-01-01,3.257189388
Malaysia,MYS,MYR,8,4.4715,2017,2017-01-01,1.7891088
Mexico,MEX,MXN,49,21.9505,2017,2017-01-01,2.232295392
Netherlands,NLD,EUR,3.61,0.955246692,2017,2017-01-01,3.779128502
New Zealand,NZL,NZD,6,1.43358899,2017,2017-01-01,4.1853
Norway,NOR,NOK,49,8.64835,2017,2017-01-01,5.665820648
Pakistan,PAK,PKR,375,104.775,2017,2017-01-01,3.579098067
Peru,PER,PEN,11,3.3929,2017,2017-01-01,3.242064311
Philippines,PHL,PHP,133,49.615,2017,2017-01-01,2.680640935
Poland,POL,PLN,9.6,4.17215,2017,2017-01-01,2.300971921
Portugal,PRT,EUR,3.05,0.955246692,2017,2017-01-01,3.192892502
Russia,RUS,RUB,130,60.4375,2017,2017-01-01,2.15098242
Saudi Arabia,SAU,SAR,12,3.75065,2017,2017-01-01,3.199445429
Singapore,SGP,SGD,5.6,1.43875,2017,2017-01-01,3.892267593
South Africa,ZAF,ZAR,26.32,13.9525,2017,2017-01-01,1.886400287
South Korea,KOR,KRW,4400,1196.45,2017,2017-01-01,3.677546074
Spain,ESP,EUR,3.95,0.955246692,2017,2017-01-01,4.135057502
Sri Lanka,LKA,LKR,550,150.06,2017,2017-01-01,3.665200586
Sweden,SWE,SEK,48,9.12455,2017,2017-01-01,5.260533396
Switzerland,CHE,CHF,6.5,1.0236,2017,2017-01-01,6.350136772
Taiwan,TWN,TWD,69,31.905,2017,2017-01-01,2.162670428
Thailand,THA,THB,119,35.573,2017,2017-01-01,3.345233745
Turkey,TUR,TRY,10.75,3.91115,2017,2017-01-01,2.748552216
UAE,ARE,AED,13,3.673,2017,2017-01-01,3.539341138
Ukraine,UKR,UAH,42,27.235,2017,2017-01-01,1.542133284
United States,USA,USD,5.06,1,2017,2017-01-01,5.06
Uruguay,URY,UYU,125,28.725,2017,2017-01-01,4.351610096
Venezuela,VEN,VEF,3550,676.6047,2017,2017-01-01,5.2467859
Vietnam,VNM,VND,60000,22572,2017,2017-01-01,2.658160553
Argentina,ARG,ARS,70,16.9675,2017,2017-07-01,4.125534109
Australia,AUS,AUD,5.9,1.303016483,2017,2017-07-01,4.527955001
Austria,AUT,EUR,3.4,0.875695083,2017,2017-07-01,3.88263
Belgium,BEL,EUR,4.05,0.875695083,2017,2017-07-01,4.6248975
Brazil,BRA,BRL,16.5,3.2343,2017,2017-07-01,5.101567573
Britain,GBR,GBP,3.19,0.775885479,2017,2017-07-01,4.111431502
Canada,CAN,CAD,5.97,1.2823,2017,2017-07-01,4.655696795
